001,003,1300,1301,1308,1309,130a,130d,130f,130k,130l,130n,130p,130s,130t,130v,130x,130y,source,term_type
10020978,ItRAAR,http://id.loc.gov/authorities/names/n83712713,,,,"Monumenta iuris canonici.",,,,,"Series B,","Corpus collectionum",,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10021150,ItRAAR,http://id.loc.gov/authorities/names/n42032641,,,,"Europäische Hochschulschriften.",,,,,"Reihe XXIII,",Theologie,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10021380,ItRAAR,http://id.loc.gov/authorities/names/n84724974,,,,"Collana di cultura sociale",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10021519,ItRAAR,,,,,"Mededeling (Rijksuniersiteit te Gent. Bibliotheek)",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10021550,ItRAAR,http://id.loc.gov/authorities/names/no2003034006,,,,"Publicación de ""extensión universitaria""",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10021627,ItRAAR,http://id.loc.gov/authorities/names/n42033295,,,,"Frankfurter historische Abhandlungen",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10021751,ItRAAR,http://id.loc.gov/authorities/names/n42020145,,,,"Publicaciones de la Escuela de Estudios Hispano-Americanos de la Universidad de Sevilla",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10021911,ItRAAR,http://id.loc.gov/authorities/names/n84719831,,,,"Biblioteca della Società per gli studi storici, archeologici ed artistici della provincia di Cuneo",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10021927,ItRAAR,http://id.loc.gov/authorities/names/n92019494,,,,"Stockholm studies in archaeology",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10022014,ItRAAR,http://id.loc.gov/authorities/names/n86746876,,,,"Handbuch der Dogmengeschichte",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10022077,ItRAAR,http://id.loc.gov/authorities/names/n42013453,,,,"Innsbrucker theologische Studien",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
10022131,ItRAAR,http://id.loc.gov/authorities/names/no2004122515,,,,"Collana di studi storici sull'Ospedale di Santo Spirito in Saxia e sugli ospedali romani",,,,,,,,,,,,ItRAAR;ItRAAR,UNIF_TITLE
